PIT_NAME       ,IOP  ,DATE      ,TIME,  UTME,   UTMN, TYPE, TOP, BOT,    DNS_A,    DNS_B,       DNS_AVG,QC                                      
fasp08         ,iop3 ,2003-02-20,1002,426454,4411298,    C,  57,  47,      165,      163,         164.0,"QC(000)                                 "
fasp08         ,iop3 ,2003-02-20,1002,426454,4411298,    C,  47,  37,      219,      235,         227.0,"QC(000)                                 "
fasp08         ,iop3 ,2003-02-20,1002,426454,4411298,    C,  37,  27,      341,      322,         331.5,"QC(000)                                 "
fasp08         ,iop3 ,2003-02-20,1002,426454,4411298,    C,  27,  17,      209,      209,         209.0,"QC(000)                                 "
fasp08         ,iop3 ,2003-02-20,1002,426454,4411298,    C,  17,   7,      218,      220,         219.0,"QC(000)                                 "
fasp08         ,iop3 ,2003-02-20,1002,426454,4411298,    C,   7,   2,      207,      228,         217.5,"QC(003)                                 "
fasp08         ,iop3 ,2003-02-20,1002,426454,4411298,    C,   2,   0,      207,      228,         217.5,"QC(001)                                 "
fasp09         ,iop3 ,2003-02-20,1423,426269,4411148,    T,   2,   0,      170,     -999,         170.0,"QC(000)                                 "
fasp09         ,iop3 ,2003-02-20,1423,426269,4411148,    T,   3,   0,      202,     -999,         202.0,"QC(000)                                 "
fasp09         ,iop3 ,2003-02-20,1423,426269,4411148,    T,   3,   0,      139,     -999,         139.0,"QC(000)                                 "
fasp10         ,iop3 ,2003-02-20,1015,426374,4410984,    C,  68,  58,      241,      241,         241.0,"QC(000)                                 "
fasp10         ,iop3 ,2003-02-20,1015,426374,4410984,    C,  58,  48,      337,      349,         343.0,"QC(000)                                 "
fasp10         ,iop3 ,2003-02-20,1015,426374,4410984,    C,  48,  38,      326,      337,         331.5,"QC(000)                                 "
fasp10         ,iop3 ,2003-02-20,1015,426374,4410984,    C,  38,  28,      318,      324,         321.0,"QC(000)                                 "
fasp10         ,iop3 ,2003-02-20,1015,426374,4410984,    C,  28,  18,      330,      350,         340.0,"QC(000)                                 "
fasp10         ,iop3 ,2003-02-20,1015,426374,4410984,    C,  18,   8,      372,      367,         369.5,"QC(000)                                 "
fasp10         ,iop3 ,2003-02-20,1015,426374,4410984,    C,   8,   0,      372,      367,         369.5,"QC(001)                                 "
fasp11         ,iop3 ,2003-02-20,1445,426452,4410992,    C, 121, 111,      229,      236,         232.5,"QC(000)                                 "
fasp11         ,iop3 ,2003-02-20,1445,426452,4410992,    C, 111, 101,      377,      485,         431.0,"QC(000)                                 "
fasp11         ,iop3 ,2003-02-20,1445,426452,4410992,    C, 101,  91,      386,      375,         380.5,"QC(000)                                 "
fasp11         ,iop3 ,2003-02-20,1445,426452,4410992,    C,  91,  81,      305,      362,         333.5,"QC(000)                                 "
fasp11         ,iop3 ,2003-02-20,1445,426452,4410992,    C,  81,  71,      431,      449,         440.0,"QC(000)                                 "
fasp11         ,iop3 ,2003-02-20,1445,426452,4410992,    C,  71,  61,      402,      369,         385.5,"QC(000)                                 "
fasp11         ,iop3 ,2003-02-20,1445,426452,4410992,    C,  61,  51,      300,      318,         309.0,"QC(000)                                 "
fasp11         ,iop3 ,2003-02-20,1445,426452,4410992,    C,  51,  41,      310,      336,         323.0,"QC(000)                                 "
fasp11         ,iop3 ,2003-02-20,1445,426452,4410992,    C,  41,  31,      359,      366,         363.0,"QC(004)                                 "
fasp11         ,iop3 ,2003-02-20,1445,426452,4410992,    C,  31,  21,      409,      397,         403.0,"QC(000)                                 "
fasp11         ,iop3 ,2003-02-20,1445,426452,4410992,    C,  21,  11,      382,      427,         404.5,"QC(000)                                 "
fasp11         ,iop3 ,2003-02-20,1445,426452,4410992,    C,  11,   1,      300,      311,         305.5,"QC(000)                                 "
fasp11         ,iop3 ,2003-02-20,1445,426452,4410992,    C,   1,   0,      300,      311,         305.5,"QC(001)                                 "
fasp12         ,iop3 ,2003-02-20,1340,426661,4410848,    C,  39,  29,      276,      269,         272.5,"QC(000)                                 "
fasp12         ,iop3 ,2003-02-20,1340,426661,4410848,    C,  29,  19,      321,      266,         293.5,"QC(000)                                 "
fasp12         ,iop3 ,2003-02-20,1340,426661,4410848,    C,  19,   9,      338,      368,         353.0,"QC(000)                                 "
fasp12         ,iop3 ,2003-02-20,1340,426661,4410848,    C,   9,   1,      305,      279,         292.0,"QC(003)                                 "
fasp12         ,iop3 ,2003-02-20,1340,426661,4410848,    C,   1,   0,      305,      279,         292.0,"QC(001)                                 "
fasp13         ,iop3 ,2003-02-20,1145,426779,4411303,    C,  75,  65,      199,      188,         193.5,"QC(000)                                 "
fasp13         ,iop3 ,2003-02-20,1145,426779,4411303,    C,  65,  55,      302,      269,         285.5,"QC(000)                                 "
fasp13         ,iop3 ,2003-02-20,1145,426779,4411303,    C,  55,  45,      316,      338,         327.0,"QC(000)                                 "
fasp13         ,iop3 ,2003-02-20,1145,426779,4411303,    C,  45,  35,      298,      398,         348.0,"QC(000)                                 "
fasp13         ,iop3 ,2003-02-20,1145,426779,4411303,    C,  35,  25,      253,      291,         272.0,"QC(000)                                 "
fasp13         ,iop3 ,2003-02-20,1145,426779,4411303,    C,  25,  15,      246,      217,         231.5,"QC(000)                                 "
fasp13         ,iop3 ,2003-02-20,1145,426779,4411303,    C,  15,   5,      289,      273,         281.0,"QC(000)                                 "
fasp13         ,iop3 ,2003-02-20,1145,426779,4411303,    C,   5,   2,      265,      270,         267.5,"QC(003)                                 "
fasp13         ,iop3 ,2003-02-20,1145,426779,4411303,    C,   2,   0,      265,      270,         267.5,"QC(001)                                 "
fasp14         ,iop3 ,2003-02-20,1535,426579,4411461,    C,  72,  62,      164,      163,         163.5,"QC(000)                                 "
fasp14         ,iop3 ,2003-02-20,1535,426579,4411461,    C,  62,  52,      259,      237,         248.0,"QC(000)                                 "
fasp14         ,iop3 ,2003-02-20,1535,426579,4411461,    C,  52,  42,      254,      242,         248.0,"QC(000)                                 "
fasp14         ,iop3 ,2003-02-20,1535,426579,4411461,    C,  42,  32,      242,      244,         243.0,"QC(000)                                 "
fasp14         ,iop3 ,2003-02-20,1535,426579,4411461,    C,  32,  22,      265,      255,         260.0,"QC(000)                                 "
fasp14         ,iop3 ,2003-02-20,1535,426579,4411461,    C,  22,  12,      265,      255,         260.0,"QC(001)                                 "
fasp14         ,iop3 ,2003-02-20,1535,426579,4411461,    C,  12,   2,      265,      255,         260.0,"QC(001)                                 "
fasp14         ,iop3 ,2003-02-20,1535,426579,4411461,    C,   2,   0,      265,      255,         260.0,"QC(001)                                 "
fasp15         ,iop3 ,2003-02-20,1400,426774,4411654,    T,   4,   0,      151,     -999,         151.0,"QC(000)                                 "
fasp15         ,iop3 ,2003-02-20,1400,426774,4411654,    T,   4,   0,      114,     -999,         114.0,"QC(000)                                 "
fasp16         ,iop3 ,2003-02-20,1447,426886,4411591,    T,  14,   0,      162,     -999,         162.0,"QC(000)                                 "
fasp16         ,iop3 ,2003-02-20,1447,426886,4411591,    T,  14,   0,      146,     -999,         146.0,"QC(000)                                 "
ffsp01         ,iop3 ,2003-02-20,0947,425568,4414294,    C,  93,  83,      117,      112,         114.5,"QC(000)                                 "
ffsp01         ,iop3 ,2003-02-20,0947,425568,4414294,    C,  83,  73,      238,      215,         226.5,"QC(000)                                 "
ffsp01         ,iop3 ,2003-02-20,0947,425568,4414294,    C,  73,  63,      235,      233,         234.0,"QC(000)                                 "
ffsp01         ,iop3 ,2003-02-20,0947,425568,4414294,    C,  63,  53,      230,      243,         236.5,"QC(000)                                 "
ffsp01         ,iop3 ,2003-02-20,0947,425568,4414294,    C,  53,  43,      206,      211,         208.5,"QC(000)                                 "
ffsp01         ,iop3 ,2003-02-20,0947,425568,4414294,    C,  43,  33,      229,      227,         228.0,"QC(000)                                 "
ffsp01         ,iop3 ,2003-02-20,0947,425568,4414294,    C,  33,  23,      239,      243,         241.0,"QC(000)                                 "
ffsp01         ,iop3 ,2003-02-20,0947,425568,4414294,    C,  23,  13,      291,      268,         279.5,"QC(000)                                 "
ffsp01         ,iop3 ,2003-02-20,0947,425568,4414294,    C,  13,   3,      291,      268,         279.5,"QC(001)                                 "
ffsp01         ,iop3 ,2003-02-20,0947,425568,4414294,    C,   3,   0,      291,      268,         279.5,"QC(001)                                 "
ffsp02         ,iop3 ,2003-02-20,1353,425623,4414674,    C, 103,  93,      121,      116,         118.5,"QC(000)                                 "
ffsp02         ,iop3 ,2003-02-20,1353,425623,4414674,    C,  93,  83,      179,      179,         179.0,"QC(000)                                 "
ffsp02         ,iop3 ,2003-02-20,1353,425623,4414674,    C,  83,  73,      210,      212,         211.0,"QC(000)                                 "
ffsp02         ,iop3 ,2003-02-20,1353,425623,4414674,    C,  73,  63,      234,      240,         237.0,"QC(000)                                 "
ffsp02         ,iop3 ,2003-02-20,1353,425623,4414674,    C,  63,  53,      236,      244,         240.0,"QC(000)                                 "
ffsp02         ,iop3 ,2003-02-20,1353,425623,4414674,    C,  53,  43,      234,      225,         229.5,"QC(000)                                 "
ffsp02         ,iop3 ,2003-02-20,1353,425623,4414674,    C,  43,  33,      241,      247,         244.0,"QC(000)                                 "
ffsp02         ,iop3 ,2003-02-20,1353,425623,4414674,    C,  33,  23,      268,      267,         267.5,"QC(000)                                 "
ffsp02         ,iop3 ,2003-02-20,1353,425623,4414674,    C,  23,  13,      298,      276,         287.0,"QC(000)                                 "
ffsp02         ,iop3 ,2003-02-20,1353,425623,4414674,    C,  13,   3,      300,      315,         307.5,"QC(000)                                 "
ffsp02         ,iop3 ,2003-02-20,1353,425623,4414674,    C,   3,   0,      300,      315,         307.5,"QC(001)                                 "
ffsp03         ,iop3 ,2003-02-20,1205,425609,4414834,    C, 125, 115,      125,      117,         121.0,"QC(000)                                 "
ffsp03         ,iop3 ,2003-02-20,1205,425609,4414834,    C, 115, 105,      188,      184,         186.0,"QC(000)                                 "
ffsp03         ,iop3 ,2003-02-20,1205,425609,4414834,    C, 105,  95,      202,      216,         209.0,"QC(000)                                 "
ffsp03         ,iop3 ,2003-02-20,1205,425609,4414834,    C,  95,  85,      259,      257,         258.0,"QC(000)                                 "
ffsp03         ,iop3 ,2003-02-20,1205,425609,4414834,    C,  85,  75,      257,      272,         264.5,"QC(000)                                 "
ffsp03         ,iop3 ,2003-02-20,1205,425609,4414834,    C,  75,  65,      256,      248,         252.0,"QC(000)                                 "
ffsp03         ,iop3 ,2003-02-20,1205,425609,4414834,    C,  65,  55,      276,      259,         267.5,"QC(000)                                 "
ffsp03         ,iop3 ,2003-02-20,1205,425609,4414834,    C,  55,  45,      275,      269,         272.0,"QC(000)                                 "
ffsp03         ,iop3 ,2003-02-20,1205,425609,4414834,    C,  45,  35,      320,      320,         320.0,"QC(000)                                 "
ffsp03         ,iop3 ,2003-02-20,1205,425609,4414834,    C,  35,  25,      310,      309,         309.5,"QC(000)                                 "
ffsp03         ,iop3 ,2003-02-20,1205,425609,4414834,    C,  25,  15,      326,      320,         323.0,"QC(000)                                 "
ffsp03         ,iop3 ,2003-02-20,1205,425609,4414834,    C,  15,   5,      326,      320,         323.0,"QC(001)                                 "
ffsp03         ,iop3 ,2003-02-20,1205,425609,4414834,    C,   5,   0,      326,      320,         323.0,"QC(001)                                 "
ffsp04         ,iop3 ,2003-02-20,1336,425600,4415255,    C,  70,  60,      153,      161,         157.0,"QC(000)                                 "
ffsp04         ,iop3 ,2003-02-20,1336,425600,4415255,    C,  60,  50,      215,      217,         216.0,"QC(000)                                 "
ffsp04         ,iop3 ,2003-02-20,1336,425600,4415255,    C,  50,  40,      228,      229,         228.5,"QC(000)                                 "
ffsp04         ,iop3 ,2003-02-20,1336,425600,4415255,    C,  40,  30,      231,      210,         220.5,"QC(000)                                 "
ffsp04         ,iop3 ,2003-02-20,1336,425600,4415255,    C,  30,  20,      272,      269,         270.5,"QC(000)                                 "
ffsp04         ,iop3 ,2003-02-20,1336,425600,4415255,    C,  20,  10,      260,      259,         259.5,"QC(000)                                 "
ffsp04         ,iop3 ,2003-02-20,1336,425600,4415255,    C,  10,   0,      346,      356,         351.0,"QC(000)                                 "
ffsp05         ,iop3 ,2003-02-20,1445,425826,4415227,    C,  85,  75,      137,      145,         141.0,"QC(000)                                 "
ffsp05         ,iop3 ,2003-02-20,1445,425826,4415227,    C,  75,  65,      212,      208,         210.0,"QC(000)                                 "
ffsp05         ,iop3 ,2003-02-20,1445,425826,4415227,    C,  65,  55,      246,      241,         243.5,"QC(000)                                 "
ffsp05         ,iop3 ,2003-02-20,1445,425826,4415227,    C,  55,  45,      250,      234,         242.0,"QC(000)                                 "
ffsp05         ,iop3 ,2003-02-20,1445,425826,4415227,    C,  45,  35,      258,      268,         263.0,"QC(000)                                 "
ffsp05         ,iop3 ,2003-02-20,1445,425826,4415227,    C,  35,  25,      288,      304,         296.0,"QC(000)                                 "
ffsp05         ,iop3 ,2003-02-20,1445,425826,4415227,    C,  25,  15,      284,      277,         280.5,"QC(000)                                 "
ffsp05         ,iop3 ,2003-02-20,1445,425826,4415227,    C,  15,   5,      315,      322,         318.5,"QC(000)                                 "
ffsp05         ,iop3 ,2003-02-20,1445,425826,4415227,    C,   5,   0,      315,      322,         318.5,"QC(001)                                 "
ffsp06         ,iop3 ,2003-02-20,1505,426012,4415124,    C,  79,  69,      136,      139,         137.5,"QC(000)                                 "
ffsp06         ,iop3 ,2003-02-20,1505,426012,4415124,    C,  69,  59,      206,      196,         201.0,"QC(000)                                 "
ffsp06         ,iop3 ,2003-02-20,1505,426012,4415124,    C,  59,  49,      225,      228,         226.5,"QC(000)                                 "
ffsp06         ,iop3 ,2003-02-20,1505,426012,4415124,    C,  49,  39,      242,      229,         235.5,"QC(000)                                 "
ffsp06         ,iop3 ,2003-02-20,1505,426012,4415124,    C,  39,  29,      224,      203,         213.5,"QC(000)                                 "
ffsp06         ,iop3 ,2003-02-20,1505,426012,4415124,    C,  29,  19,      331,      242,         286.5,"QC(000)                                 "
ffsp06         ,iop3 ,2003-02-20,1505,426012,4415124,    C,  19,   9,      260,      300,         280.0,"QC(000)                                 "
ffsp06         ,iop3 ,2003-02-20,1505,426012,4415124,    C,   9,   0,      260,      300,         280.0,"QC(001)                                 "
ffsp07         ,iop3 ,2003-02-20,1006,425906,4414772,    C,  90,  80,      132,      131,         131.5,"QC(000)                                 "
ffsp07         ,iop3 ,2003-02-20,1006,425906,4414772,    C,  80,  70,      211,      234,         222.5,"QC(000)                                 "
ffsp07         ,iop3 ,2003-02-20,1006,425906,4414772,    C,  70,  60,      250,      242,         246.0,"QC(000)                                 "
ffsp07         ,iop3 ,2003-02-20,1006,425906,4414772,    C,  60,  50,      252,      247,         249.5,"QC(000)                                 "
ffsp07         ,iop3 ,2003-02-20,1006,425906,4414772,    C,  50,  40,      214,      224,         219.0,"QC(000)                                 "
ffsp07         ,iop3 ,2003-02-20,1006,425906,4414772,    C,  40,  30,      249,      242,         245.5,"QC(000)                                 "
ffsp07         ,iop3 ,2003-02-20,1006,425906,4414772,    C,  30,  20,      283,      268,         275.5,"QC(000)                                 "
ffsp07         ,iop3 ,2003-02-20,1006,425906,4414772,    C,  20,  10,      297,      293,         295.0,"QC(000)                                 "
ffsp07         ,iop3 ,2003-02-20,1006,425906,4414772,    C,  10,   0,      282,      302,         292.0,"QC(000)                                 "
ffsp08         ,iop3 ,2003-02-20,1410,426039,4414713,    C,  99,  89,      121,      123,         122.0,"QC(000)                                 "
ffsp08         ,iop3 ,2003-02-20,1410,426039,4414713,    C,  89,  79,      194,      188,         191.0,"QC(000)                                 "
ffsp08         ,iop3 ,2003-02-20,1410,426039,4414713,    C,  79,  69,      208,      200,         204.0,"QC(000)                                 "
ffsp08         ,iop3 ,2003-02-20,1410,426039,4414713,    C,  69,  59,      296,      314,         305.0,"QC(000)                                 "
ffsp08         ,iop3 ,2003-02-20,1410,426039,4414713,    C,  59,  49,      260,      253,         256.5,"QC(000)                                 "
ffsp08         ,iop3 ,2003-02-20,1410,426039,4414713,    C,  49,  39,      262,      259,         260.5,"QC(000)                                 "
ffsp08         ,iop3 ,2003-02-20,1410,426039,4414713,    C,  39,  29,      258,      253,         255.5,"QC(000)                                 "
ffsp08         ,iop3 ,2003-02-20,1410,426039,4414713,    C,  29,  19,      312,      305,         308.5,"QC(000)                                 "
ffsp08         ,iop3 ,2003-02-20,1410,426039,4414713,    C,  19,   9,      282,      298,         290.0,"QC(000)                                 "
ffsp08         ,iop3 ,2003-02-20,1410,426039,4414713,    C,   9,   0,      305,     -999,         305.0,"QC(003)                                 "
ffsp09         ,iop3 ,2003-02-20,1223,425854,4414563,    C, 104,  94,      119,      116,         117.5,"QC(000)                                 "
ffsp09         ,iop3 ,2003-02-20,1223,425854,4414563,    C,  94,  84,      184,      193,         188.5,"QC(000)                                 "
ffsp09         ,iop3 ,2003-02-20,1223,425854,4414563,    C,  84,  74,      229,      211,         220.0,"QC(000)                                 "
ffsp09         ,iop3 ,2003-02-20,1223,425854,4414563,    C,  74,  64,      242,      226,         234.0,"QC(000)                                 "
ffsp09         ,iop3 ,2003-02-20,1223,425854,4414563,    C,  64,  54,      229,      220,         224.5,"QC(000)                                 "
ffsp09         ,iop3 ,2003-02-20,1223,425854,4414563,    C,  54,  44,      236,      256,         246.0,"QC(000)                                 "
ffsp09         ,iop3 ,2003-02-20,1223,425854,4414563,    C,  44,  34,      261,      284,         272.5,"QC(000)                                 "
ffsp09         ,iop3 ,2003-02-20,1223,425854,4414563,    C,  34,  24,      282,      282,         282.0,"QC(000)                                 "
ffsp09         ,iop3 ,2003-02-20,1223,425854,4414563,    C,  24,  14,      310,      298,         304.0,"QC(000)                                 "
ffsp09         ,iop3 ,2003-02-20,1223,425854,4414563,    C,  14,   4,      310,      298,         304.0,"QC(001)                                 "
ffsp09         ,iop3 ,2003-02-20,1223,425854,4414563,    C,   4,   0,      310,      298,         304.0,"QC(001)                                 "
ffsp10         ,iop3 ,2003-02-20,1100,425959,4414399,    C,  94,  84,      109,      112,         110.5,"QC(000)                                 "
ffsp10         ,iop3 ,2003-02-20,1100,425959,4414399,    C,  84,  74,      195,      200,         197.5,"QC(000)                                 "
ffsp10         ,iop3 ,2003-02-20,1100,425959,4414399,    C,  74,  64,      227,      235,         231.0,"QC(000)                                 "
ffsp10         ,iop3 ,2003-02-20,1100,425959,4414399,    C,  64,  54,      250,      245,         247.5,"QC(000)                                 "
ffsp10         ,iop3 ,2003-02-20,1100,425959,4414399,    C,  54,  44,      236,      233,         234.5,"QC(000)                                 "
