PIT_NAME       ,IOP  ,DATE      ,TIME,  UTME,   UTMN, TYPE, TOP, BOT,    DNS_A,    DNS_B,       DNS_AVG,QC                                      
               ,     ,          ,    ,      ,       ,     ,  cm,  cm,   kg/m^3,   kg/m^3,        kg/m^3,                                        
fasp01         ,iop3 ,2003-02-20,1058,425983,4410879,    C,  41,  31,      234,      216,         225.0,"QC(000)                                 "
fasp01         ,iop3 ,2003-02-20,1058,425983,4410879,    C,  31,  21,      283,      311,         297.0,"QC(000)                                 "
fasp01         ,iop3 ,2003-02-20,1058,425983,4410879,    C,  21,  11,      305,      343,         324.0,"QC(000)                                 "
fasp01         ,iop3 ,2003-02-20,1058,425983,4410879,    C,  11,   4,      275,      293,         284.0,"QC(003)                                 "
fasp01         ,iop3 ,2003-02-20,1058,425983,4410879,    C,   4,   0,      275,      293,         284.0,"QC(001)                                 "
fasp02         ,iop3 ,2003-02-20,1320,426038,4411259,    C, 144, 134,      103,      106,         104.5,"QC(000)                                 "
fasp02         ,iop3 ,2003-02-20,1320,426038,4411259,    C, 134, 124,      167,      147,         157.0,"QC(000)                                 "
fasp02         ,iop3 ,2003-02-20,1320,426038,4411259,    C, 124, 114,      215,      211,         213.0,"QC(000)                                 "
fasp02         ,iop3 ,2003-02-20,1320,426038,4411259,    C, 114, 104,      239,      217,         228.0,"QC(000)                                 "
fasp02         ,iop3 ,2003-02-20,1320,426038,4411259,    C, 104,  94,      272,      256,         264.0,"QC(000)                                 "
fasp02         ,iop3 ,2003-02-20,1320,426038,4411259,    C,  94,  84,      262,      265,         263.5,"QC(000)                                 "
fasp02         ,iop3 ,2003-02-20,1320,426038,4411259,    C,  84,  74,      249,      253,         251.0,"QC(000)                                 "
fasp02         ,iop3 ,2003-02-20,1320,426038,4411259,    C,  74,  64,      225,      240,         232.5,"QC(000)                                 "
fasp02         ,iop3 ,2003-02-20,1320,426038,4411259,    C,  64,  54,      260,      245,         252.5,"QC(000)                                 "
fasp02         ,iop3 ,2003-02-20,1320,426038,4411259,    C,  54,  44,      273,      304,         288.5,"QC(000)                                 "
fasp02         ,iop3 ,2003-02-20,1320,426038,4411259,    C,  44,  34,      292,      308,         300.0,"QC(000)                                 "
fasp02         ,iop3 ,2003-02-20,1320,426038,4411259,    C,  34,  24,      339,      298,         318.5,"QC(000)                                 "
fasp02         ,iop3 ,2003-02-20,1320,426038,4411259,    C,  24,  14,      322,      305,         313.5,"QC(000)                                 "
fasp02         ,iop3 ,2003-02-20,1320,426038,4411259,    C,  14,   4,      273,     -999,         273.0,"QC(000)                                 "
fasp02         ,iop3 ,2003-02-20,1320,426038,4411259,    C,   4,   0,      273,     -999,         273.0,"QC(001)                                 "
fasp03         ,iop3 ,2003-02-20,1040,426024,4411419,    C, 121, 111,      114,      111,         112.5,"QC(000)                                 "
fasp03         ,iop3 ,2003-02-20,1040,426024,4411419,    C, 111, 101,      192,      193,         192.5,"QC(000)                                 "
fasp03         ,iop3 ,2003-02-20,1040,426024,4411419,    C, 101,  91,      219,      213,         216.0,"QC(000)                                 "
fasp03         ,iop3 ,2003-02-20,1040,426024,4411419,    C,  91,  81,      244,      246,         245.0,"QC(000)                                 "
fasp03         ,iop3 ,2003-02-20,1040,426024,4411419,    C,  81,  71,      252,      256,         254.0,"QC(000)                                 "
fasp03         ,iop3 ,2003-02-20,1040,426024,4411419,    C,  71,  61,      260,      235,         247.5,"QC(000)                                 "
fasp03         ,iop3 ,2003-02-20,1040,426024,4411419,    C,  61,  51,      249,      245,         247.0,"QC(000)                                 "
fasp03         ,iop3 ,2003-02-20,1040,426024,4411419,    C,  51,  41,      281,      277,         279.0,"QC(000)                                 "
fasp03         ,iop3 ,2003-02-20,1040,426024,4411419,    C,  41,  31,      280,      301,         290.5,"QC(000)                                 "
fasp03         ,iop3 ,2003-02-20,1040,426024,4411419,    C,  31,  21,      284,      312,         298.0,"QC(000)                                 "
fasp03         ,iop3 ,2003-02-20,1040,426024,4411419,    C,  21,  11,      310,      319,         314.5,"QC(000)                                 "
fasp03         ,iop3 ,2003-02-20,1040,426024,4411419,    C,  11,   3,      323,     -999,         323.0,"QC(003)                                 "
fasp03         ,iop3 ,2003-02-20,1040,426024,4411419,    C,   3,   0,      323,     -999,         323.0,"QC(001)                                 "
fasp04         ,iop3 ,2003-02-20,1425,426015,4411840,    C,  94,  84,      122,      123,         122.5,"QC(000)                                 "
fasp04         ,iop3 ,2003-02-20,1425,426015,4411840,    C,  84,  74,      190,      190,         190.0,"QC(000)                                 "
fasp04         ,iop3 ,2003-02-20,1425,426015,4411840,    C,  74,  64,      224,      222,         223.0,"QC(000)                                 "
fasp04         ,iop3 ,2003-02-20,1425,426015,4411840,    C,  64,  54,      215,      215,         215.0,"QC(000)                                 "
fasp04         ,iop3 ,2003-02-20,1425,426015,4411840,    C,  54,  44,      207,      198,         202.5,"QC(000)                                 "
fasp04         ,iop3 ,2003-02-20,1425,426015,4411840,    C,  44,  34,      213,      226,         219.5,"QC(000)                                 "
fasp04         ,iop3 ,2003-02-20,1425,426015,4411840,    C,  34,  24,      255,      229,         242.0,"QC(000)                                 "
fasp04         ,iop3 ,2003-02-20,1425,426015,4411840,    C,  24,  14,      261,      264,         262.5,"QC(000)                                 "
fasp04         ,iop3 ,2003-02-20,1425,426015,4411840,    C,  14,   4,      283,      254,         268.5,"QC(000)                                 "
fasp04         ,iop3 ,2003-02-20,1425,426015,4411840,    C,   4,   0,      283,      254,         268.5,"QC(001)                                 "
fasp05         ,iop3 ,2003-02-20,1310,426241,4411812,    C, 105,  95,      123,      119,         121.0,"QC(000)                                 "
fasp05         ,iop3 ,2003-02-20,1310,426241,4411812,    C,  95,  85,      175,      196,         185.5,"QC(000)                                 "
fasp05         ,iop3 ,2003-02-20,1310,426241,4411812,    C,  85,  75,      217,      232,         224.5,"QC(000)                                 "
fasp05         ,iop3 ,2003-02-20,1310,426241,4411812,    C,  75,  65,      233,      235,         234.0,"QC(000)                                 "
fasp05         ,iop3 ,2003-02-20,1310,426241,4411812,    C,  65,  55,      224,      225,         224.5,"QC(000)                                 "
fasp05         ,iop3 ,2003-02-20,1310,426241,4411812,    C,  55,  45,      214,      222,         218.0,"QC(000)                                 "
fasp05         ,iop3 ,2003-02-20,1310,426241,4411812,    C,  45,  35,      264,      265,         264.5,"QC(000)                                 "
fasp05         ,iop3 ,2003-02-20,1310,426241,4411812,    C,  35,  25,      286,      276,         281.0,"QC(000)                                 "
fasp05         ,iop3 ,2003-02-20,1310,426241,4411812,    C,  25,  15,      285,      300,         292.5,"QC(000)                                 "
fasp05         ,iop3 ,2003-02-20,1310,426241,4411812,    C,  15,   5,      276,      289,         282.5,"QC(000)                                 "
fasp05         ,iop3 ,2003-02-20,1310,426241,4411812,    C,   5,   0,      276,      289,         282.5,"QC(001)                                 "
fasp06         ,iop3 ,2003-02-20,1000,426427,4411709,    C, 111, 101,      127,      117,         122.0,"QC(000)                                 "
fasp06         ,iop3 ,2003-02-20,1000,426427,4411709,    C, 101,  91,      191,      200,         195.5,"QC(000)                                 "
fasp06         ,iop3 ,2003-02-20,1000,426427,4411709,    C,  91,  81,      205,      222,         213.5,"QC(000)                                 "
fasp06         ,iop3 ,2003-02-20,1000,426427,4411709,    C,  81,  71,      236,      243,         239.5,"QC(000)                                 "
fasp06         ,iop3 ,2003-02-20,1000,426427,4411709,    C,  71,  61,      247,      244,         245.5,"QC(000)                                 "
fasp06         ,iop3 ,2003-02-20,1000,426427,4411709,    C,  61,  51,      217,      227,         222.0,"QC(000)                                 "
fasp06         ,iop3 ,2003-02-20,1000,426427,4411709,    C,  51,  41,      244,      238,         241.0,"QC(000)                                 "
fasp06         ,iop3 ,2003-02-20,1000,426427,4411709,    C,  41,  31,      269,      270,         269.5,"QC(000)                                 "
fasp06         ,iop3 ,2003-02-20,1000,426427,4411709,    C,  31,  21,      271,      279,         275.0,"QC(000)                                 "
fasp06         ,iop3 ,2003-02-20,1000,426427,4411709,    C,  21,  11,      292,      305,         298.5,"QC(000)                                 "
fasp06         ,iop3 ,2003-02-20,1000,426427,4411709,    C,  11,   2,      304,      286,         295.0,"QC(003)                                 "
fasp06         ,iop3 ,2003-02-20,1000,426427,4411709,    C,   2,   0,      304,      286,         295.0,"QC(001)                                 "
fasp07         ,iop3 ,2003-02-20,1500,426321,4411357,    C,  90,  80,      151,      146,         148.5,"QC(000)                                 "
fasp07         ,iop3 ,2003-02-20,1500,426321,4411357,    C,  80,  70,      260,      235,         247.5,"QC(000)                                 "
fasp07         ,iop3 ,2003-02-20,1500,426321,4411357,    C,  70,  60,      316,      300,         308.0,"QC(000)                                 "
fasp07         ,iop3 ,2003-02-20,1500,426321,4411357,    C,  60,  50,      287,      246,         266.5,"QC(000)                                 "
fasp07         ,iop3 ,2003-02-20,1500,426321,4411357,    C,  50,  40,      240,      217,         228.5,"QC(000)                                 "
fasp07         ,iop3 ,2003-02-20,1500,426321,4411357,    C,  40,  30,      238,      227,         232.5,"QC(000)                                 "
fasp07         ,iop3 ,2003-02-20,1500,426321,4411357,    C,  30,  20,      255,      277,         266.0,"QC(000)                                 "
fasp07         ,iop3 ,2003-02-20,1500,426321,4411357,    C,  20,  10,      257,      262,         259.5,"QC(000)                                 "
fasp07         ,iop3 ,2003-02-20,1500,426321,4411357,    C,  10,   0,      257,      262,         259.5,"QC(001)                                 "
